YEAR,CASENUM,WEIGHT,A_CRAINJ,A_INTER,A_RELRD,A_INTSEC,A_JUNC,A_MANCOL,A_TOD,A_DOW,A_CT,A_HR,A_LT,A_MC,A_SPCRA,A_PED,A_PEDAL,A_ROLL,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24
2015,201510443751,217.168,3,2,4,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2015,201510443757,107.77342,3,2,1,2,2,1,1,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2
2015,201510443760,215.54684,3,2,1,1,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510443763,179.70652,3,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
2015,201510443802,217.168,3,2,4,2,2,1,1,2,1,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2015,201510443803,108.584,3,2,4,2,2,1,1,2,1,2,2,2,1,2,2,2,1,1,1,1,2,2,1
2015,201510443812,217.168,3,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2015,201510443826,89.85326,3,2,1,1,1,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510443827,179.70652,3,2,1,2,2,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2015,201510443829,179.70652,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2015,201510443845,54.292,2,2,1,2,2,3,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1
2015,201510443847,108.584,3,2,4,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1
2015,201510443849,217.168,3,2,4,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510443854,27.146,2,2,4,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510443857,108.584,3,2,4,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2015,201510443862,217.168,3,2,4,2,3,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2015,201510443866,27.146,2,2,1,2,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510443875,89.85326,3,2,1,2,2,5,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2015,201510443876,179.70652,3,2,1,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2015,201510443877,89.85326,3,2,4,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1
2015,201510443879,179.70652,3,2,4,2,3,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1
2015,201510443895,54.292,2,2,4,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2015,201510443902,108.584,3,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1
2015,201510443904,217.168,3,2,1,2,2,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510443908,54.292,2,2,4,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2015,201510443909,108.584,3,2,4,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2015,201510443916,108.584,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510443921,108.584,3,2,4,2,2,1,2,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2
2015,201510443923,108.584,3,2,4,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510443925,54.292,2,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2015,201510443927,217.168,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510443933,54.292,2,2,1,2,3,4,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2015,201510443936,107.77342,3,2,4,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510443938,107.77342,3,2,1,2,2,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510443940,107.77342,2,2,4,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510443941,53.88671,2,2,4,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1
2015,201510443943,107.77342,3,2,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2015,201510443945,107.77342,3,2,4,2,2,1,1,2,1,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2015,201510443946,53.88671,3,2,1,2,2,3,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510443951,107.77342,2,2,4,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2015,201510443953,107.77342,3,2,1,2,3,6,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510443954,215.54684,3,2,4,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2015,201510443956,107.77342,3,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2015,201510443958,53.88671,2,2,4,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2015,201510443963,98.56061,3,2,4,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2015,201510443964,197.12122,3,2,4,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1
2015,201510443969,98.56061,2,2,4,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510443971,197.12122,3,2,4,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2
